0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:31:43 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:31:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:31:47 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:31:50 +0530] "GET /Project_4/ctl/UserCtl?id=5 HTTP/1.1" 200 7842
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:31:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:32:01 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:32:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:35:46 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:35:48 +0530] "GET /Project_4/ctl/UserCtl?id=5 HTTP/1.1" 200 7842
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:35:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:36:32 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:36:34 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [01/Jun/2023:15:36:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:21 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:36 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:36 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:43 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:43 +0530] "GET /Project_4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:43 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:43 +0530] "GET /Project_4/img/RaysLogo.png HTTP/1.1" 200 20585
0:0:0:0:0:0:0:1 - - [01/Jun/2023:16:24:43 +0530] "GET /Project_4/img/Raysicon.png HTTP/1.1" 200 12498
